"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
7932;6518;2;2015-07-02 00:00:00;2015-07-02 00:00:00
7933;4998;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7934;3633;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7935;3753;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7936;3781;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7937;5186;4;2012-06-27 00:00:00;2012-06-27 00:00:00
7938;3890;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7939;3905;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7940;5794;4;2013-05-11 00:00:00;2013-05-11 00:00:00
7941;4008;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7942;4178;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7943;4468;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7944;4492;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7945;4512;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7946;4523;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7947;4568;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7948;4570;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7949;4664;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7950;4734;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7951;4735;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7952;4983;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7953;5018;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7954;6312;4;2015-01-26 00:00:00;
7955;3811;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7956;3847;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7957;3865;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7958;3919;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7959;3999;4;2011-08-30 00:00:00;
7960;4243;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7961;4280;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7962;5319;4;2012-01-04 00:00:00;2012-01-04 00:00:00
7963;4329;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7964;4506;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7965;4603;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7966;4713;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7967;4746;4;2013-09-11 00:00:00;2013-09-11 00:00:00
7968;4923;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7969;5766;4;2013-04-12 00:00:00;2013-04-12 00:00:00
7970;4990;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7971;5022;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7972;4919;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7973;4963;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7974;4947;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7975;4851;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7976;4771;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7977;4781;4;2011-08-30 00:00:00;2011-08-30 00:00:00
7978;5786;4;2013-05-03 00:00:00;2013-05-03 00:00:00
7979;6519;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7980;6520;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7981;6521;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7982;6522;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7983;6523;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7984;6524;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7985;6525;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7986;6526;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7987;6527;2;2015-07-03 00:00:00;2015-07-03 00:00:00
7988;6528;2;2015-07-06 00:00:00;2015-07-06 00:00:00
7989;1570;2;2015-07-04 00:00:00;2015-07-04 00:00:00
7990;1522;2;2015-07-04 00:00:00;2015-07-04 00:00:00
7991;6529;2;2015-07-06 00:00:00;
7992;6530;2;2015-07-06 00:00:00;2015-07-06 00:00:00
7993;3662;4;2014-10-15 00:00:00;2014-10-15 00:00:00
7994;5599;1;2012-10-15 00:00:00;2012-10-15 00:00:00
7995;6531;1;2015-07-06 00:00:00;
7996;5795;1;2013-05-10 00:00:00;2013-05-10 00:00:00
7997;5187;1;2012-08-03 00:00:00;2012-08-03 00:00:00
7998;1938;1;2013-07-03 00:00:00;2013-07-03 00:00:00
7999;5603;1;2012-10-17 00:00:00;
8000;5573;4;2012-09-20 00:00:00;2012-09-20 00:00:00
