"cliente";"vendedor";"fecha_ca";"vigencia_ve"
2005;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2006;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2007;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2008;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2009;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2010;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2011;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2012;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2013;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2014;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2015;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2016;0;2011-08-01 00:00:00;
2017;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2018;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2019;0;2011-08-01 00:00:00;
2020;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2021;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2022;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2023;0;2011-08-01 00:00:00;
2024;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2025;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2026;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2027;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2028;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2029;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2030;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2031;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2032;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2033;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2034;0;2011-08-01 00:00:00;
2035;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2036;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2037;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2038;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2039;0;2011-08-01 00:00:00;
2040;0;2011-08-01 00:00:00;
2041;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2042;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2043;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2044;0;2011-08-01 00:00:00;
2045;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2046;0;2011-08-01 00:00:00;
2047;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2048;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2049;0;2011-08-01 00:00:00;
2050;0;2011-08-01 00:00:00;2011-08-01 00:00:00
2051;0;2011-08-01 00:00:00;
2052;0;2011-08-01 00:00:00;2011-08-01 00:00:00
