"cli_pro_id";"producto";"clien";"prod_name";"consumo_pro";"u_ventas";"epoca";"ser_reque";"prov_act"
727;1;0;2;20000;0;1;1;17
728;1;0;2;15000;0;3;1;3
729;2;0;17;205;0;3;1;3
730;2;0;5;100;0;3;1;3
731;5;0;11;20;0;3;1;3
732;3;0;6;6000;0;3;1;20
733;1;0;2;40000;0;1;1;3
734;2;0;12;1000;0;1;1;3
735;1;0;2;20000;0;3;1;1
736;1;0;2;6000;0;3;1;3
737;1;0;2;10000;0;1;1;3
738;1;0;2;150000;0;1;1;3
739;2;0;4;300;0;1;1;3
740;1;0;2;500000;0;1;1;21
741;1;0;2;60000;0;5;1;3
742;2;0;12;7200;0;1;1;3
743;2;0;5;7000;0;1;1;3
744;2;0;20;1200;0;1;1;3
745;2;0;21;800;0;1;1;3
746;5;0;11;4800;0;1;1;3
747;2;0;7;2000;0;1;1;3
748;1;0;2;120000;0;1;1;1
749;3;0;14;3000;0;1;1;3
750;2;0;14;2050;0;1;1;3
751;1;0;2;150000;0;1;1;1
752;1;0;2;50000;0;1;1;22
753;1;0;2;35000;0;4;1;3
754;2;0;4;1000;0;4;1;3
755;2;0;5;1000;0;4;1;3
756;5;0;11;100;0;4;1;3
757;4;0;9;400;0;1;1;3
758;1;0;2;50000;0;1;1;1
759;1;0;2;36000;0;1;1;1
760;1;0;2;400000;0;1;1;8
761;1;0;2;350000;0;4;1;1
762;1;0;2;10000;0;3;1;3
763;1;0;2;250000;0;1;1;23
764;1;0;2;80000;0;1;1;3
765;1;0;2;200000;0;1;1;1
766;2;0;22;2400;0;1;1;24
767;2;0;22;4100;0;1;1;24
768;1;0;2;250000;0;4;1;1
769;1;0;2;15000;0;1;1;3
770;1;0;2;20000;0;3;1;1
771;1;0;2;100000;0;3;1;1
772;1;0;2;50000;0;1;1;16
773;1;0;2;300000;0;1;1;19
774;2;0;14;15000;0;3;1;2
775;4;0;23;90000;0;3;1;25
776;3;0;23;10000;0;3;1;25
777;1;0;2;600000;0;1;1;1
778;1;0;2;200000;0;3;1;1
779;2;0;23;50000;0;3;1;1
780;3;0;23;50000;0;3;1;2
781;1;0;2;50000;0;3;1;1
782;1;0;2;350000;0;4;1;1
783;1;0;2;1000000;0;1;1;1
784;2;0;23;10000;0;1;1;26
785;1;0;2;550000;0;1;1;1
786;2;0;4;2050;0;1;1;1
787;1;0;1;150000;0;1;1;26
788;1;0;2;10000;0;1;1;27
789;2;0;12;100;0;1;1;26
790;2;0;24;100;0;1;1;26
791;2;0;1;100;0;1;1;26
792;5;0;11;36;0;1;1;26
793;4;0;9;500;0;3;1;26
794;3;0;6;200;0;3;1;26
795;2;0;23;800;0;1;1;28
796;2;0;1;200;0;1;1;28
797;2;0;25;120;0;1;1;28
798;2;0;26;120;0;1;1;28
799;2;0;23;800;0;1;1;3
800;2;0;23;800;0;1;1;3
801;2;0;23;800;0;1;1;3
802;1;0;2;15000;0;1;1;1
803;1;0;2;10000;0;1;1;1
804;1;0;2;30000;0;3;1;1
805;2;0;4;205;0;1;1;1
806;2;0;5;205;0;1;1;1
807;1;0;2;20000;0;1;1;11
808;2;0;4;400;0;1;1;29
809;2;0;5;200;0;1;1;29
810;1;0;2;15000;0;1;1;3
811;2;0;4;200;0;1;1;26
812;2;0;5;60;0;1;1;26
813;5;0;11;60;0;1;1;26
814;1;0;2;170000;0;1;1;1
815;1;0;2;50000;0;1;1;3
816;1;0;2;13000;0;1;1;3
817;5;0;11;18;0;1;1;3
818;2;0;4;205;0;1;1;3
819;1;0;2;30000;0;1;1;30
820;1;0;2;50000;0;1;1;3
821;1;0;2;30000;0;1;1;3
822;1;0;2;84000;0;1;1;6
823;1;0;2;5000;0;3;1;3
824;1;0;2;30000;0;1;1;1
825;2;0;23;1000;0;1;1;4
826;2;0;5;200;0;1;1;4
827;1;0;2;300000;0;1;1;3
828;1;0;2;8000;0;4;1;3
829;1;0;2;1200000;0;4;1;1
830;2;0;15;2050;0;1;1;1
831;1;0;2;60000;0;1;1;31
832;1;0;2;60000;0;1;1;32
833;1;0;2;20000;0;1;1;3
834;1;0;14;10000;3;4;1;6
835;1;0;2;30000;0;1;1;16
836;1;0;14;3;5;4;1;6
837;1;0;14;3;4;4;1;6
838;1;0;2;10000;0;1;1;10
840;2;0;27;890;0;4;1;1
841;2;6184;27;4100;0;1;1;3
842;1;0;14;3;4;4;1;6
843;1;0;14;3;4;4;1;6
846;2;6183;12;205;0;3;1;3
848;2;6183;5;205;0;3;1;3
849;2;6188;12;205;0;3;1;3
850;2;6188;5;205;0;3;1;3
851;2;6182;12;1230;0;1;1;3
852;2;6180;12;2000;0;1;1;3
853;2;6180;24;600;0;1;1;3
854;2;6180;5;600;0;1;1;3
855;2;6180;23;400;0;1;1;3
856;5;6180;11;360;0;1;1;3
857;2;5372;1;120;0;3;1;3
858;2;5372;25;120;0;3;1;3
859;2;5372;5;100;0;3;1;3
860;2;5381;1;800;0;3;1;3
861;2;5381;12;300;0;3;1;9
862;2;5381;5;200;0;3;1;9
863;2;5381;15;400;0;3;1;9
864;2;6176;1;205;0;3;1;3
865;2;5232;12;410;0;1;1;3
866;2;5232;5;600;0;1;1;3
867;2;5232;27;30000;0;1;1;3
868;2;5911;27;8000;0;4;1;3
869;1;1569;2;30000;0;4;1;3
870;1;5140;2;60000;0;1;1;10
871;2;5140;24;600;0;1;1;3
872;2;5140;17;60;0;1;1;3
873;2;5140;8;80;0;1;1;3
874;2;5140;8;80;0;1;1;3
875;2;5140;11;72;0;1;1;3
876;2;5333;24;120;0;1;1;3
877;2;5333;28;120;0;1;1;3
878;2;5333;29;1200;0;1;1;3
879;5;5333;11;54;0;1;1;3
880;5;5333;30;300;0;1;1;3
881;5;5333;31;300;0;1;1;3
882;2;4146;27;10000;0;1;1;3
883;1;6187;2;500;0;3;1;3
884;2;5802;1;300;0;3;1;3
885;2;5802;12;150;0;3;1;3
886;2;5802;16;150;0;3;1;9
887;2;5127;12;1000;0;1;1;3
888;2;5127;25;1000;0;1;1;3
889;2;5127;5;500;0;1;1;3
890;2;5127;20;600;0;1;1;3
891;2;5649;12;2000;0;1;1;3
892;2;5649;1;3000;0;1;1;3
893;2;5649;25;700;0;1;1;9
894;2;5649;5;3000;0;1;1;9
895;5;5649;11;500;0;1;1;21
896;2;5818;5;120;0;3;1;3
897;1;6191;2;2000;0;3;1;10
898;2;6191;12;400;0;1;1;3
899;2;6191;5;200;0;1;1;3
900;5;6191;11;54;0;1;1;3
901;4;6191;9;70;0;1;1;33
902;1;6190;2;60000;0;1;1;3
903;2;4679;11;100;0;1;1;3
904;2;4679;1;120;0;1;1;3
905;2;4679;20;40;0;1;1;3
906;2;5451;5;40;0;3;1;3
907;2;5451;15;40;0;3;1;3
908;1;6193;2;2000;0;1;1;10
909;2;6193;12;60;0;1;1;3
910;5;6193;11;20;0;1;1;3
911;4;6193;9;6000;0;1;1;34
912;4;6193;23;3000;0;1;1;34
913;3;6193;27;800;0;1;1;12
914;3;6193;6;60;0;1;1;12
915;3;6193;32;20;0;1;1;12
916;2;6192;1;20;0;3;1;3
917;2;6192;5;20;0;3;1;3
918;2;6126;5;1000;0;1;1;3
919;2;6126;14;410;0;1;1;3
920;4;6126;9;30;0;1;1;3
921;2;4722;14;6500;0;1;1;3
922;4;4722;9;20000;0;1;1;3
923;3;4722;33;1300;0;1;1;3
924;3;4722;34;226;0;1;1;3
925;1;4974;2;500000;0;1;1;32
