"reclamo_id";"cliente";"t_recla";"fecha_recla";"reclamo";"accion";"resp_clie";"estado";"fecha_solucion"
57;4460;3;2014-10-14 00:00:00;"";"PROMOCIONES DE LOS XV100, XV300 Y XV500.";;;
58;4460;3;2014-10-14 00:00:00;"";"";;;
59;5007;3;2014-03-07 00:00:00;"REQUIEREN EXTENSIÓN DE PLAZOS HASTA 60 DIAS .";"SE ACEPTO EL PEDIDO DEL CLIENTE Y SE ALARGO EL PLAZO HASTA 60 DIAS";;;
60;5612;3;2014-01-01 00:00:00;"REQUIEREN MAYOR INFORMACION REFERENTE A NUESTROS PRODUCTOS ( asfalto)";"SE BRINDO UNA CHARLA INFORMATIVA DE ASFALTO";;;
61;4729;3;2014-06-17 00:00:00;"IMPLEMENTAR CHARLAS INFORMATIVAS";"SE IMPLEMENTARON DISTINTAS CHARLAS INFORMATIVAS SOBRE ACEITES EN TERMAS DE RIO HONDOS Y EN EL HOTAL CATALINAS PARK.";;;
62;5099;3;2014-01-02 00:00:00;"SOLICITA QUE SE LE EXTIENDAN PLAZOS DE FINANCIACION.";"SE LE EFECTUÓ BONIFICACION DE 3  MAS 5% CON PAGO S A 30 DIAS.";;;
63;5055;3;2014-03-03 00:00:00;"EL CLIENTE SOLICITA LA IMPLEMENTACION DE CHARLAS INFORMATIVAS";"SE IMPLEMENTARON LAS CHARLAS TECNICAS SOBRE ELAION MOTO EN TERMAS DE RIO HONDO.";;;
64;4861;3;2014-03-03 00:00:00;"SOLICITA EL CLIENTE LA IMPLEMENTACION DE PROMOCIONES DE PRODUCTOS.";"SE IMPLMENTO LA PROMOCION DEL SUPLEMENTO Y DEL EXTRA VIDA.";;;
65;5043;3;2014-01-01 00:00:00;"SOLICITA EL CLIENTE AMPLIAR OFERTA DE FERTILIZANTES Y AGROQUIMICOS.";"LUBRE OFRECIO LA COMPRA DE FERTILIZANTES A 7 DIAS .";;;
66;3910;2;2014-11-28 00:00:00;"El dia 27 /11/2014 se descargó un tambor de aceite NOrmal 50, siendo las 16, 30 hs. Al día siguiente 28/11 al iniciar sus actividads siend las 7,20 hs. observo en el piso alrededor del tambor que habia perdido del mismo. Llamé al distribuidor y me comunicaron  urgente con el vendedor, quien me solicitó que lo traspase al contenido del mismo a otro tambor y que saque fotos del mismo. realizé la operación y evidentemente hubo una falla del recipiente.";"";;;
67;3910;2;2014-12-09 00:00:00;"";"Dia 28/11/2014 se le descontó al cliente la suma de $ 50 al verificar con la foto la pinchadura del tambor, ya que se la traspasó a otro envase de iguales caracteristicas.";;;
68;3910;2;2014-12-09 00:00:00;"";"";;;
72;5080;2;2014-12-31 00:00:00;"El Sr. Emilio Vera informa que el día 31/12/2014 se le entregaron 42 (cuarenta y dos) bolsas de Parafinas 66.
El cliente reclama que una bolsa estaba rota y tenía un faltante de 4 kg. de parafinas mas o menos.";"";;;
73;5080;2;2015-03-13 00:00:00;"";"El chofer del vehiculos que realiza la entrega, Sr. Pablo Gonzalez, verifica que es correcto.";;;
74;5080;2;2015-03-13 00:00:00;"";"";;;
82;6259;2;2015-08-18 00:00:00;"Informa ARmando Quinteros que el cliente le reclamó que el tambor de Kriox estaba perdiendo su contenido.";"El dia 20/08/2015 se realizó el cambio del tambor por otro en buenas  condiciones.";;;
85;5003;2;2015-08-07 00:00:00;"El cliente Miguel Roldan informa que recibió un tambor de Refrigerante Kriox, con pérdida en el mencionado tambor de 205 lts, por problemas en la fabricación del envase";"Se llegó a un acuerdo y el cliente entregará el tambor usado cuando lo termine, para realizar el trasbazo del liquido y se lo entreguemos nuevamente. La operatoria será cumplimentada cuando se realice la misma (20/08/2015)";;;
